ARTIST,TITLE,YEAR,LINK
Ilya Repin,Portrait Of The Artist Nikolay Gay,1880,https://uploads3.wikiart.org/images/ilya-repin/portrait-of-the-artist-nikolay-gay-1880.jpg!Large.jpg
Joaquin Sorolla,Galicia The Pilgrimage,1915,https://uploads5.wikiart.org/images/joaquin-sorolla/galicia-the-pilgrimage-1915.jpg!Large.jpg
Mary Cassatt,Pattycake,1897,https://uploads6.wikiart.org/images/mary-cassatt/pattycake-1897.jpg
Vincent Van Gogh,Entrance To The Moulin De La Galette,1887,https://uploads2.wikiart.org/images/vincent-van-gogh/entrance-to-the-moulin-de-la-galette-1887.jpg!Large.jpg
Pyotr Konchalovsky,Skating Rink Dynamo,1948,https://uploads5.wikiart.org/images/pyotr-konchalovsky/skating-rink-dynamo-1948.jpg!Large.jpg
Ivan Shishkin,Clouds Over The Grove,1878,https://uploads2.wikiart.org/images/ivan-shishkin/clouds-over-the-grove-1878.jpg!Large.jpg
Andrew Wyeth,Not Detected,7577,https://uploads3.wikiart.org/images/andrew-wyeth/not-detected-267577.jpg!Large.jpg
Boris Kustodiev,Group Portrait Of Family Schwartz,1908,https://uploads7.wikiart.org/images/boris-kustodiev/group-portrait-of-family-schwartz-1908.jpg!Large.jpg
Paul Klee,Fish Magic,1925,https://uploads4.wikiart.org/images/paul-klee/fish-magic-1925.jpg
Niko Pirosmani,Portrait Of A Wealthy Peasant,1903,https://uploads2.wikiart.org/images/niko-pirosmani/portrait-of-a-wealthy-peasant-1903.jpg!Large.jpg
Georges Braque,The Bottle Of Rum,1914,https://uploads8.wikiart.org/images/georges-braque/the-bottle-of-rum-1914.jpg!Large.jpg
Pyotr Konchalovsky,Near Siena,1912,https://uploads4.wikiart.org/images/pyotr-konchalovsky/near-siena-1912.jpg
Jose Maria Velasco,Valle De M Xico Tomado En Las Lomas De Tacubaya,1885,https://uploads6.wikiart.org/images/jose-maria-velasco/valle-de-m-xico-tomado-en-las-lomas-de-tacubaya-1885.jpg!Large.jpg
Nicholas Roerich,Burein Gol Qaidam,1928,https://uploads0.wikiart.org/images/nicholas-roerich/burein-gol-qaidam-1928.jpg
John William Waterhouse,Sketch For A Mermaid,1892,https://uploads2.wikiart.org/images/john-william-waterhouse/sketch-for-a-mermaid-1892.jpg!Large.jpg
Andrea Mantegna,Dido,1500,https://uploads5.wikiart.org/images/andrea-mantegna/dido-1500.jpg!Large.jpg
Theo Van Doesburg,Cover Design For Magazine Klei,1920,https://uploads6.wikiart.org/images/theo-van-doesburg/cover-design-for-magazine-klei-1920.jpg!Large.jpg
Dante Gabriel Rossetti,Mnemosyne,1881,https://uploads8.wikiart.org/images/dante-gabriel-rossetti/mnemosyne-1881.jpg!Large.jpg
Martiros Saryan,Mountais,1923,https://uploads0.wikiart.org/images/martiros-saryan/mountais-1923.jpg!Large.jpg
Paul Signac,Port Of La Rochelle,1921,https://uploads6.wikiart.org/images/paul-signac/port-of-la-rochelle-1921.jpg
Paul Gauguin,Orana Maria Hail Maria,1894,https://uploads2.wikiart.org/images/paul-gauguin/orana-maria-hail-maria-1894.jpg!Large.jpg
Pierre Auguste Renoir,Eugene Murer,1877,https://uploads1.wikiart.org/images/pierre-auguste-renoir/eugene-murer-1877.jpg!Large.jpg
Amedeo Modigliani,The Pretty Housewife,1915,https://uploads5.wikiart.org/images/amedeo-modigliani/the-pretty-housewife-1915.jpg!Large.jpg
Ivan Aivazovsky,During The Harvest In Ukraine,1883,https://uploads3.wikiart.org/images/ivan-aivazovsky/during-the-harvest-in-ukraine-1883.jpg!Large.jpg
Konstantin Korovin,Roses,1917,https://uploads0.wikiart.org/images/konstantin-korovin/roses-1917.jpg!Large.jpg
Paul Klee,Individualized Altimetry Of Stripes,1930,https://uploads2.wikiart.org/images/paul-klee/individualized-altimetry-of-stripes-1930.jpg
Ilya Repin,Portrait Of The Writer N B Nordman Severova,1905,https://uploads3.wikiart.org/images/ilya-repin/portrait-of-the-writer-n-b-nordman-severova-1905.jpg!Large.jpg
Albert Bierstadt,View In Yosemite Valley,1871,https://uploads7.wikiart.org/images/albert-bierstadt/view-in-yosemite-valley-1871.jpg!Large.jpg
Georges Seurat,Vase Of Flowers,1879,https://uploads6.wikiart.org/images/georges-seurat/vase-of-flowers-1879.jpg!Large.jpg
Eyvind Earle,Two Emerald Jewels,1998,https://uploads7.wikiart.org/images/eyvind-earle/two-emerald-jewels-1998.jpg!Large.jpg
Henri Rousseau,Landscape With Farmer,1896,https://uploads3.wikiart.org/images/henri-rousseau/landscape-with-farmer-1896.jpg!Large.jpg
Jose Clemente Orozco,The Poor,1926,https://uploads5.wikiart.org/images/jose-clemente-orozco/the-poor-1926.jpg!Large.jpg
Pierre Auguste Renoir,Confidence,1897,https://uploads8.wikiart.org/images/pierre-auguste-renoir/confidence-1897.jpg!Large.jpg
Claude Monet,Wooded Path,1865,https://uploads0.wikiart.org/images/claude-monet/wooded-path-1865.jpg!Large.jpg
Theo Van Doesburg,Counter Composition V,1924,https://uploads5.wikiart.org/images/theo-van-doesburg/counter-composition-v-1924.jpg
Albrecht Durer,Christ On The Mount Of Olives,1511,https://uploads1.wikiart.org/images/albrecht-durer/christ-on-the-mount-of-olives-1511.jpg
Ivan Shishkin,The Mordvinovo Oaks,1891,https://uploads0.wikiart.org/images/ivan-shishkin/the-mordvinovo-oaks-1891.jpg!Large.jpg
Joan Miro,The Farmer's Wife,1923,https://uploads3.wikiart.org/images/joan-miro/the-farmer-s-wife-1923.jpg!Large.jpg
Paul Gauguin,Garden Under Snow,1879,https://uploads6.wikiart.org/images/paul-gauguin/garden-under-snow-1879.jpg!Large.jpg
Andrea Mantegna,Judith And Holofernes,1500,https://uploads4.wikiart.org/images/andrea-mantegna/judith-and-holofernes-1500.jpg!Large.jpg
Pablo Picasso,Head,1936,https://uploads3.wikiart.org/images/pablo-picasso/head-1936.jpg!Large.jpg
Paul Gauguin,Winter Landscape,1879,https://uploads5.wikiart.org/images/paul-gauguin/winter-landscape-1879.jpg!Large.jpg
Joaquin Sorolla,Valencia Couples On Horseback,1916,https://uploads3.wikiart.org/images/joaquin-sorolla/valencia-couples-on-horseback-1916.jpg!Large.jpg
Camille Pissarro,A Cowherd On The Route De Chou Pontoise,1874,https://uploads5.wikiart.org/images/camille-pissarro/a-cowherd-on-the-route-de-chou-pontoise-1874.jpg!Large.jpg
Jose Maria Velasco,Puente R Stico En El R O San Ngel,1862,https://uploads1.wikiart.org/images/jose-maria-velasco/puente-r-stico-en-el-r-o-san-ngel-1862.jpg!Large.jpg
Zinaida Serebriakova,Portrait Of Eugene Serebryakov,1909,https://uploads0.wikiart.org/images/zinaida-serebriakova/portrait-of-eugene-serebryakov-1909.jpg!Large.jpg
Zinaida Serebriakova,Portrait Of His Son Alexander,1925,https://uploads8.wikiart.org/images/zinaida-serebriakova/portrait-of-his-son-alexander-1925.jpg!Large.jpg
Edward Burne Jones,Spona De Libano,1891,https://uploads1.wikiart.org/images/edward-burne-jones/spona-de-libano-1891.jpg!Large.jpg
Edvard Munch,Self Portrait With Cod's Head,1940,https://uploads0.wikiart.org/images/edvard-munch/self-portrait-with-cod-s-head-1940.jpg!Large.jpg
Alfred Sisley,Factory In The Flood Bougival,1873,https://uploads1.wikiart.org/images/alfred-sisley/factory-in-the-flood-bougival-1873.jpg!Large.jpg
Paul Gauguin,By The Stream Autumn,1885,https://uploads0.wikiart.org/images/paul-gauguin/by-the-stream-autumn-1885.jpg!Large.jpg
Paul Cezanne,Standing Bather Drying Her Hair,1869,https://uploads2.wikiart.org/images/paul-cezanne/standing-bather-drying-her-hair-1869.jpg!Large.jpg
Amedeo Modigliani,Lolotte,1916,https://uploads0.wikiart.org/images/amedeo-modigliani/lolotte-1916.jpg
Gustave Caillebotte,Young Man Playing The Piano,1876,https://uploads5.wikiart.org/images/gustave-caillebotte/young-man-playing-the-piano-1876.jpg!Large.jpg
Cindy Sherman,Untitled,1976,https://uploads7.wikiart.org/images/cindy-sherman/untitled-1976.jpg!Large.jpg
